order_item_id,order_id,product_id,quantity,unit_price,discount
2,1,300,-1,133.29,0.15
83,32,12,-1,156.75,0.0
89,33,61,-1,512.76,0.15
97,37,33,-1,217.73,0.0
106,40,25,-1,282.92,0.0
218,92,168,-1,649.6,0.0
237,101,56,-1,186.07,0.05
244,103,102,-1,396.98,0.1
259,109,59,-1,287.12,0.0
269,112,226,-1,211.98,0.0
287,122,84,-1,43.2,0.15
323,133,254,-1,286.86,0.0
347,144,218,-1,127.17,0.0
374,153,271,-1,756.22,0.05
541,226,220,-1,475.38,0.0
594,253,294,-1,141.94,0.0
738,314,201,-1,567.68,0.0
746,319,294,-1,141.94,0.0
807,349,286,-1,47.93,0.2
849,366,252,-1,274.43,0.0
948,408,254,-1,286.86,0.1
954,411,116,-1,862.37,0.0
1068,463,9,-1,66.57,0.15
1081,468,98,-1,71.96,0.0
1114,480,142,-1,717.32,0.2
1122,484,22,-1,205.71,0.05
1140,496,140,-1,500.02,0.0
1157,505,96,-1,682.77,0.2
1199,521,40,-1,171.89,0.0
1259,547,116,-1,862.37,0.0
1269,552,211,-1,943.9,0.0
1274,555,84,-1,43.2,0.0
1283,561,124,-1,640.23,0.1
1330,583,91,-1,369.86,0.2
1360,597,38,-1,364.99,0.15
1365,600,80,-1,166.05,0.0
1369,602,9,-1,66.57,0.0
1388,613,140,-1,500.02,0.1
1428,630,17,-1,953.82,0.0
1511,669,229,-1,690.53,0.0
1536,676,102,-1,396.98,0.0
1557,685,203,-1,431.09,0.0
1575,694,148,-1,304.48,0.05
1583,700,221,-1,704.75,0.05
1691,759,34,-1,399.8,0.0
1794,801,196,-1,518.75,0.0
1813,811,46,-1,397.56,0.1
1897,851,202,-1,514.85,0.1
1962,880,127,-1,111.4,0.0
1983,887,229,-1,690.53,0.0
1992,891,57,-1,510.39,0.2
2061,919,107,-1,963.92,0.0
2106,941,14,-1,90.93,0.05
2110,944,13,-1,152.16,0.15
2128,949,41,-1,376.48,0.2
2167,966,184,-1,278.4,0.1
